,acc_phone_x,acc_phone_y,acc_phone_z,labelwalking,labelstanding,labelbiking,labelsitting,labelrunning,labelontable,mag_phone_x,mag_phone_y,mag_phone_z,press_phone_pressure,pedom_phone_steps,pedom_phone_distance
2018-06-07 17:31:03.522,-10.3993408203,5.01467285156,-0.071276855469,0,0,1,0,0,0,-42.5548503113,1.23028625488,-8.31885986328,101.487484,6031.0,4826.274
2018-06-07 17:31:03.772,-10.5289855957,4.11033935547,-0.228729248047,0,0,1,0,0,0,-42.2184873962,-1.39464080811,-9.20565185547,101.4871,6031.0,4826.274
2018-06-07 17:31:04.022,-7.57579345703,2.11102905274,-0.217779541016,0,0,1,0,0,0,-40.9033558655,-12.7127859497,-7.20774658203,101.4871,6031.0,4826.274
2018-06-07 17:31:04.272,-8.91865234375,2.49032592773,-0.504083251953,0,0,1,0,0,0,-42.1578114319,-9.96840515136,-5.32917480469,101.4871,6031.0,4826.274
2018-06-07 17:31:04.522,-10.4957641602,4.95581054687,0.263055419922,0,0,1,0,0,0,-42.8964729309,3.23180389404,-7.28172851562,101.48666,6031.24,4826.46124
2018-06-07 17:31:04.772,-10.0349853516,4.16596679687,-0.272845458984,0,0,1,0,0,0,-42.9634580994,-1.83836608887,-9.21964111328,101.4866,6037.0,4830.955
2018-06-07 17:31:05.022,-7.65441894532,1.7971097506,-0.409082266001,0,0,1,0,0,0,-40.9952944242,-13.6038117042,-6.42308161809,101.4866,6037.0,4830.955
2018-06-07 17:31:05.272,-9.66696166992,3.34549560547,-0.324267578125,0,0,1,0,0,0,-42.667375946,-7.99143066407,-5.54325195313,101.4866,6037.0,4830.955
2018-06-07 17:31:05.522,-10.6891235352,5.13591918945,-0.0661254882811,0,0,1,0,0,0,-42.7163273621,3.00170257568,-6.75992431641,101.4866,6037.0,4830.955
2018-06-07 17:31:05.772,-9.98989868165,3.77630615234,-0.365118408203,0,0,1,0,0,0,-42.6864668274,-5.35194213867,-8.25444091797,101.4866,6037.0,4830.955
2018-06-07 17:31:06.022,-7.19459838867,1.24190063477,-0.47490234375,0,0,1,0,0,0,-40.3895603943,-15.5648999023,-5.32658447266,101.4866,6037.0,4830.955
2018-06-07 17:31:06.272,-9.76719360352,3.76600952149,-0.221002197266,0,0,1,0,0,0,-42.6954051208,-6.77534667968,-5.63858398437,101.486672,6037.0,4830.955
2018-06-07 17:31:06.522,-10.687487793,4.9858581543,0.190655517578,0,0,1,0,0,0,-43.0187522888,2.49174316406,-7.05801269531,101.4869,6037.0,4830.955
2018-06-07 17:31:06.772,-9.80519409179,3.68654174805,-0.261779785156,0,0,1,0,0,0,-42.3617399597,-6.60233093262,-7.36405761719,101.4869,6037.0,4830.955
2018-06-07 17:31:07.022,-7.15813598633,1.37874145508,-0.347766113281,0,0,1,0,0,0,-40.4091282654,-15.6891119385,-5.82619384766,101.4869,6037.0,4830.955
2018-06-07 17:31:07.272,-9.81543907752,4.11832956167,-0.0201122577373,0,0,1,0,0,0,-42.6675271254,-5.74669911312,-7.0054297814,101.4869,6040.38461538,4832.78269231
2018-06-07 17:31:07.522,-9.06944580078,6.16559448242,0.506689453125,0,0,1,0,0,0,-41.3093016052,9.71521331786,-7.80053222656,101.4869,6041.0,4833.115
2018-06-07 17:31:07.772,-6.84750366211,6.65257568359,0.241064453125,0,0,1,0,0,0,-41.9830961609,9.31361328125,-8.22345214844,101.4869,6041.0,4833.115
2018-06-07 17:31:08.022,-7.89714355469,6.63806152344,0.323950195312,0,0,1,0,0,0,-41.3753804016,10.3681536865,-8.90929199219,101.4869,6041.0,4833.115
2018-06-07 17:31:08.272,-7.15799560547,6.79424438477,0.144854736328,0,0,1,0,0,0,-41.6938520813,11.3336190796,-9.63644775391,101.4869,6041.0,4833.115
