,acc_phone_x,acc_phone_y,acc_phone_z,labelwalking,labelstanding,labelbiking,labelsitting,labelrunning,labelontable,mag_phone_x,mag_phone_y,mag_phone_z,press_phone_pressure,pedom_phone_steps,pedom_phone_distance
2018-06-07 16:13:45.522,1.4482971191396683,-3.3015930175791999,-8.0831298828128002,0,0,0,0,0,0,9.77369132996,-32.2527612305,-26.8393164063,101.4673,146.0,110.4371
2018-06-07 16:13:45.772,-0.432385253906444,-4.0562988281247998,-9.4904357910179993,0,0,0,0,0,0,3.10841888428,-29.3052833557,-31.759230957,101.4673,146.0,110.4371
2018-06-07 16:13:46.022,-2.0989257812504403,-1.7994445800782801,-10.0779785156292,0,0,0,0,0,0,2.06513305664,-28.3283364868,-32.4777392578,101.4673,146.0,110.4371
2018-06-07 16:13:46.272,0.17120971679684799,-2.7071411132818799,-8.6958374023459992,0,0,0,0,0,0,9.53190383911,-26.5177728271,-32.2647241211,101.467428,146.0,110.4371
2018-06-07 16:13:46.522,1.0998300405643231,-3.9727078951330772,-10.170880831204231,0,0,0,0,0,0,10.7264182751,-27.2623063601,-31.0873976487,101.4675,146.0,110.4371
2018-06-07 16:13:46.772,1.6842590332029999,-1.8454528808596,-9.4852478027335998,0,0,0,0,0,0,8.69588516236,-25.6058093262,-32.8536206055,101.4675,146.0,110.4371
2018-06-07 16:13:47.022,0.091845703124952008,-2.6775695800775998,-8.9457580566411998,0,0,0,0,0,0,3.55227401733,-25.972772522,-33.6100708008,101.4675,146.0,110.4371
2018-06-07 16:13:47.272,-0.76814575195265999,-2.30437011718772,-11.1874511718748,0,0,0,0,0,0,1.46509963989,-27.1151795959,-32.6635839844,101.467416,146.0,110.4371
2018-06-07 16:13:47.522,-0.32171630859378397,-2.4083129882807999,-8.0703002929688008,0,0,0,0,0,0,3.32595153809,-27.2529489136,-32.2505615234,101.4674,146.0,110.4371
2018-06-07 16:13:47.772,0.81432978312204574,-3.0907694498695837,-10.839888254807917,0,0,0,0,0,0,4.74830325445,-26.4153911273,-32.5673370361,101.4674,146.0,110.4371
2018-06-07 16:13:48.022,1.0130720872146537,-1.6752096322865384,-9.5094064565742311,0,0,0,0,0,0,3.40035394522,-26.2072737767,-32.6356459398,101.4674,146.0,110.4371
2018-06-07 16:13:48.272,0.030621337890560821,-3.3945678710944005,-8.9850830078119994,0,0,0,0,0,0,0.99419708252,-27.4406942749,-32.1346508789,101.4675,146.0,110.4371
2018-06-07 16:13:48.522,0.097711181640556824,-3.4102661132816001,-10.4750488281228,0,0,0,0,0,0,1.9037147522,-30.0123999024,-29.5231713867,101.4675,146.0,110.4371
2018-06-07 16:13:48.772,1.1726496769830228,-3.7290367713338459,-7.6775653545680775,0,0,0,0,0,0,6.64378488981,-31.3949881334,-26.8198946439,101.4675,146.0,110.4371
2018-06-07 16:13:49.022,1.78845825195348,-3.2493164062491995,-10.938677978513599,0,0,0,0,0,0,7.62587844849,-27.7553735352,-30.3695849609,101.467572,146.0,110.4371
2018-06-07 16:13:49.272,1.5691467285156397,-2.4050476074224001,-8.6798217773471986,0,0,0,0,0,0,6.15820503235,-26.5919126892,-31.5905688477,101.4678,146.0,110.4371
2018-06-07 16:13:49.522,0.86564941406249607,-3.5655090332023995,-9.6110412597651997,0,0,0,0,0,0,3.68978149414,-28.2299705505,-30.8690014648,101.4678,146.0,110.4371
2018-06-07 16:13:49.772,0.46768798828115604,-3.7861572265624002,-9.9533996582051998,1,0,0,0,0,0,6.34167495727,-30.0894552612,-28.1881494141,101.4678,146.0,110.4371
2018-06-07 16:13:50.022,0.19775390624994402,-3.5809509277344,-8.0638366699207999,1,0,0,0,0,0,7.51732749939,-27.1132365418,-30.622890625,101.46796,146.0,110.4371
2018-06-07 16:13:50.272,1.7604431152342321,-2.7143066406248,-11.179626464837199,1,0,0,0,0,0,8.00403747559,-26.3230072022,-31.2982983399,101.4682,149.6,113.1731
2018-06-07 16:13:50.522,0.84351806640619997,-2.5889831542963999,-8.0357543945295991,1,0,0,0,0,0,4.35885482788,-26.9790245056,-31.3433862305,101.4682,155.0,117.2771
2018-06-07 16:13:50.772,0.91592407226531203,-4.2856811523439999,-9.7547424316391993,1,0,0,0,0,0,3.06626342773,-29.2485250854,-29.5077563477,101.4682,155.0,117.2771
2018-06-07 16:13:51.022,-0.077978515625010389,-3.4438659667960003,-9.7509765624996003,1,0,0,0,0,0,2.97803451538,-29.5716731262,-28.7394433594,101.4685,155.0,117.2771
2018-06-07 16:13:51.272,-0.012870201697678848,-3.440270057091154,-8.3305300199115369,1,0,0,0,0,0,3.39876424349,-26.3584288084,-32.1586702787,101.4687,155.0,117.2771
2018-06-07 16:13:51.522,0.99345703125008,-2.3208068847666401,-11.052447509759599,1,0,0,0,0,0,5.356171875,-25.3273982239,-32.3620727539,101.4687,155.0,117.2771
2018-06-07 16:13:51.772,1.141131591795824,-2.5982727050772003,-8.3254150390619994,1,0,0,0,0,0,4.16261123657,-25.3769882202,-32.6341748047,101.4687,155.0,117.2771
2018-06-07 16:13:52.022,-0.68779296874952001,-2.8595031738280001,-10.6670593261668,1,0,0,0,0,0,-1.05284500122,-24.5913038635,-33.8412060547,101.46902,155.0,117.2771
2018-06-07 16:13:52.272,-1.7538757324213561,-2.1593566894523999,-9.6793151855424,1,0,0,0,0,0,-2.60654098511,-25.9499032593,-32.6403759766,101.4691,155.0,117.2771
2018-06-07 16:13:52.522,0.13543701171867201,-3.8499816894532,-8.0447448730484012,1,0,0,0,0,0,2.49376937866,-27.4029315186,-30.3548657227,101.4691,155.0,117.2771
