,device_type,sensor_type,timestamps,x,y,z
0,smartphone,magnetometer,1.5281284759987118e+18,-19.408977508544922,-42.011802673339844,-34.1292724609375
1,smartphone,magnetometer,1.5281284759987118e+18,-20.37594223022461,-40.3110237121582,-36.46282958984375
2,smartphone,magnetometer,1.528128477998713e+18,-17.415473937988278,-45.81735610961914,-29.807373046875
3,smartphone,magnetometer,1.528128477998713e+18,-17.415473937988278,-45.81735610961914,-29.807373046875
4,smartphone,magnetometer,1.528128479998707e+18,18.63746452331543,-38.89771270751953,-95.0057373046875
5,smartphone,magnetometer,1.528128479998707e+18,13.929115295410162,-65.39015197753906,-16.70782470703125
6,smartphone,magnetometer,1.5281284819987039e+18,43.05260848999023,-25.30474090576172,11.187255859375
7,smartphone,magnetometer,1.5281284819987039e+18,48.95553588867188,-10.98616027832031,7.0372314453125
8,smartphone,magnetometer,1.528128483998702e+18,43.92511367797852,13.62486267089844,12.4390869140625
9,smartphone,magnetometer,1.528128483998702e+18,26.12049865722656,22.07154083251953,20.98114013671875
10,smartphone,magnetometer,1.528128483998702e+18,32.84990692138672,14.04977416992188,24.33148193359375
11,smartphone,magnetometer,1.528128485998699e+18,36.05325317382812,14.42706298828125,22.26824951171875
12,smartphone,magnetometer,1.528128485998699e+18,26.77695465087891,4.026100158691406,39.59893798828125
13,smartphone,magnetometer,1.528128487998698e+18,42.13822937011719,-5.023200988769531,27.196044921875
14,smartphone,magnetometer,1.528128487998698e+18,42.99370956420898,-0.3606185913085938,19.5147705078125
15,smartphone,magnetometer,1.528128489998695e+18,26.41293144226074,18.6153564453125,26.03033447265625
16,smartphone,magnetometer,1.528128489998695e+18,34.244091033935554,20.26991271972656,14.3126220703125
17,smartphone,magnetometer,1.528128491998692e+18,34.64746856689453,21.83185577392578,9.57513427734375
18,smartphone,magnetometer,1.528128491998692e+18,35.087783813476555,22.35386657714844,5.440185546875
19,smartphone,magnetometer,1.52812849399869e+18,36.99534225463867,20.19161987304688,6.20703125
20,smartphone,magnetometer,1.52812849399869e+18,40.122901916503906,15.88642120361328,6.44659423828125
21,smartphone,magnetometer,1.528128495998688e+18,45.83781433105469,8.555900573730469,4.64501953125
22,smartphone,magnetometer,1.528128495998688e+18,45.73942184448242,6.2918853759765625,6.93450927734375
23,smartphone,magnetometer,1.528128497998685e+18,43.11703109741211,11.14159393310547,0.61944580078125
24,smartphone,magnetometer,1.528128497998685e+18,41.055625915527344,14.84117126464844,-3.2960205078125
25,smartphone,magnetometer,1.528128499998683e+18,36.78118133544922,21.47243499755859,-1.742431640625
26,smartphone,magnetometer,1.528128499998683e+18,34.82205963134766,22.23763275146484,-1.61126708984375
27,smartphone,magnetometer,1.528128501998681e+18,35.443504333496094,21.81057739257812,-1.93402099609375
28,smartphone,magnetometer,1.528128501998681e+18,38.59473419189453,16.641426086425778,-4.97955322265625
29,smartphone,magnetometer,1.528128503998678e+18,41.564491271972656,13.31289672851562,-6.9671630859375
30,smartphone,magnetometer,1.528128503998678e+18,42.52385330200195,11.6417236328125,-1.97210693359375
31,smartphone,magnetometer,1.5281285059986752e+18,43.58274841308594,11.950401306152338,0.12689208984375
32,smartphone,magnetometer,1.5281285059986752e+18,44.01103210449219,11.57295227050781,0.58984375
33,smartphone,magnetometer,1.528128507998673e+18,45.01884078979492,5.013801574707031,1.64495849609375
34,smartphone,magnetometer,1.528128507998673e+18,45.17926788330078,8.546676635742188,2.68182373046875
35,smartphone,magnetometer,1.5281285099986721e+18,45.55561447143555,9.625518798828123,-1.8377685546875
36,smartphone,magnetometer,1.5281285099986721e+18,44.02735137939453,8.926826477050781,-8.5357666015625
37,smartphone,magnetometer,1.528128511998668e+18,45.87648391723633,7.504325866699219,-3.46990966796875
38,smartphone,magnetometer,1.528128511998668e+18,46.31228637695312,7.487464904785156,-2.907958984375
39,smartphone,magnetometer,1.528128513998666e+18,44.08275604248047,9.919387817382812,-6.2557373046875
40,smartphone,magnetometer,1.528128513998666e+18,44.07268905639648,10.915687561035162,-1.22137451171875
41,smartphone,magnetometer,1.5281285159986642e+18,42.52692413330078,13.288902282714838,-4.61572265625
42,smartphone,magnetometer,1.5281285159986642e+18,40.29525375366211,14.03817749023438,-5.6171875
43,smartphone,magnetometer,1.528128517998661e+18,38.847618103027344,18.41517639160156,-4.698974609375
44,smartphone,magnetometer,1.528128517998661e+18,36.664344787597656,19.65833282470703,-6.31591796875
45,smartphone,magnetometer,1.5281285199986588e+18,36.36477661132812,21.37824249267578,-4.103271484375
46,smartphone,magnetometer,1.5281285199986588e+18,33.37305068969727,22.43220520019531,-3.5987548828125
47,smartphone,magnetometer,1.528128521998657e+18,31.85698890686035,24.76922607421875,-4.25335693359375
48,smartphone,magnetometer,1.528128521998657e+18,31.99706840515137,24.32498168945312,-4.36627197265625
49,smartphone,magnetometer,1.528128523998654e+18,33.87485885620117,22.73161315917969,-3.76904296875
50,smartphone,magnetometer,1.528128523998654e+18,35.84552001953125,22.20712280273438,-5.706298828125
51,smartphone,magnetometer,1.5281285259986511e+18,37.237937927246094,18.83712005615234,-5.22796630859375
52,smartphone,magnetometer,1.5281285259986511e+18,39.25479125976562,16.03901672363281,-4.89300537109375
53,smartphone,magnetometer,1.528128527998649e+18,40.376930236816406,14.54048156738281,-2.79638671875
54,smartphone,magnetometer,1.528128527998649e+18,44.4244270324707,2.085090637207031,9.9749755859375
55,smartphone,magnetometer,1.528128529998647e+18,43.76309585571289,-2.650894165039062,1.1116943359375
