,device_type,sensor_type,timestamps,x,y,z
0,smartphone,accelerometer,1.5281284759987118e+18,-0.1349334716796875,-0.746185302734375,-0.7885589599609375
1,smartphone,accelerometer,1.5281284759987118e+18,0.260589599609375,-0.885406494140625,-0.3063812255859375
2,smartphone,accelerometer,1.528128477998713e+18,0.3074188232421875,-0.7382965087890625,-0.5338134765625
3,smartphone,accelerometer,1.528128477998713e+18,0.4118499755859375,-0.5652008056640625,-0.8488311767578125
4,smartphone,accelerometer,1.528128479998707e+18,0.53973388671875,-0.602386474609375,1.150863647460938
5,smartphone,accelerometer,1.528128479998707e+18,0.466705322265625,-0.1981964111328125,0.7436065673828125
6,smartphone,accelerometer,1.5281284819987039e+18,0.9668731689453124,-0.2506866455078125,0.5891265869140625
7,smartphone,accelerometer,1.5281284819987039e+18,-0.006195068359375,0.540313720703125,0.4766082763671875
8,smartphone,accelerometer,1.528128483998702e+18,0.0661163330078125,0.284027099609375,0.8566131591796875
9,smartphone,accelerometer,1.528128483998702e+18,0.061553955078125,0.0037994384765625,0.61553955078125
10,smartphone,accelerometer,1.528128483998702e+18,0.0065765380859375,0.255279541015625,0.6260833740234375
11,smartphone,accelerometer,1.528128485998699e+18,0.3972320556640625,0.5227203369140625,0.7769775390625
12,smartphone,accelerometer,1.528128485998699e+18,0.77337646484375,0.1461639404296875,0.7640533447265625
13,smartphone,accelerometer,1.528128487998698e+18,0.7986297607421875,0.2780609130859375,0.5755462646484375
14,smartphone,accelerometer,1.528128487998698e+18,0.250152587890625,0.58209228515625,0.4600982666015625
15,smartphone,accelerometer,1.528128489998695e+18,0.636627197265625,1.127700805664062,0.8167877197265625
16,smartphone,accelerometer,1.528128489998695e+18,0.4696197509765625,0.567413330078125,0.6911163330078125
17,smartphone,accelerometer,1.528128491998692e+18,0.7811737060546875,0.3390655517578125,0.7093353271484375
18,smartphone,accelerometer,1.528128491998692e+18,0.5241546630859375,0.0596466064453125,0.5816802978515625
19,smartphone,accelerometer,1.52812849399869e+18,0.1946563720703125,-0.0470733642578125,0.495819091796875
20,smartphone,accelerometer,1.52812849399869e+18,0.6641693115234375,0.2008514404296875,0.5100860595703125
21,smartphone,accelerometer,1.528128495998688e+18,0.8668975830078125,0.4165191650390625,0.4078369140625
22,smartphone,accelerometer,1.528128495998688e+18,0.8153533935546875,0.467254638671875,0.28863525390625
23,smartphone,accelerometer,1.528128497998685e+18,0.674224853515625,0.656280517578125,0.3695220947265625
24,smartphone,accelerometer,1.528128497998685e+18,0.77801513671875,0.7418670654296875,0.4344635009765625
25,smartphone,accelerometer,1.528128499998683e+18,0.907684326171875,0.616058349609375,0.4702606201171875
26,smartphone,accelerometer,1.528128499998683e+18,0.7397918701171875,0.1601715087890625,0.387908935546875
27,smartphone,accelerometer,1.528128501998681e+18,0.5325927734375,-0.0186767578125,0.3295135498046875
28,smartphone,accelerometer,1.528128501998681e+18,0.4554595947265625,0.1503143310546875,0.5540924072265625
29,smartphone,accelerometer,1.528128503998678e+18,0.6404876708984375,0.317291259765625,0.4235687255859375
30,smartphone,accelerometer,1.528128503998678e+18,1.14312744140625,0.3091278076171875,0.402862548828125
31,smartphone,accelerometer,1.5281285059986752e+18,0.9957427978515624,0.5444488525390625,0.4268951416015625
32,smartphone,accelerometer,1.5281285059986752e+18,0.7563934326171875,0.475555419921875,0.3304901123046875
33,smartphone,accelerometer,1.528128507998673e+18,0.8096466064453125,0.40985107421875,0.446075439453125
34,smartphone,accelerometer,1.528128507998673e+18,0.84869384765625,0.5930938720703125,0.3539581298828125
35,smartphone,accelerometer,1.5281285099986721e+18,0.983245849609375,0.537811279296875,0.5362548828125
36,smartphone,accelerometer,1.5281285099986721e+18,0.91766357421875,0.5165557861328125,0.3147430419921875
37,smartphone,accelerometer,1.528128511998668e+18,0.9160308837890624,0.509735107421875,0.2327423095703125
38,smartphone,accelerometer,1.528128511998668e+18,0.7744903564453125,0.5118408203125,0.25885009765625
39,smartphone,accelerometer,1.528128513998666e+18,0.94549560546875,0.559906005859375,0.2822418212890625
40,smartphone,accelerometer,1.528128513998666e+18,0.788116455078125,0.43914794921875,0.3009033203125
41,smartphone,accelerometer,1.5281285159986642e+18,0.69305419921875,0.297760009765625,0.16839599609375
42,smartphone,accelerometer,1.5281285159986642e+18,0.46722412109375,0.185760498046875,0.321563720703125
43,smartphone,accelerometer,1.528128517998661e+18,0.467620849609375,0.0356292724609375,0.254669189453125
44,smartphone,accelerometer,1.528128517998661e+18,0.5211639404296875,0.1002960205078125,0.334014892578125
45,smartphone,accelerometer,1.5281285199986588e+18,0.47308349609375,0.0861358642578125,0.28582763671875
46,smartphone,accelerometer,1.5281285199986588e+18,0.6234893798828125,0.2446746826171875,0.282928466796875
47,smartphone,accelerometer,1.528128521998657e+18,0.9087677001953124,0.55670166015625,0.4008941650390625
48,smartphone,accelerometer,1.528128521998657e+18,0.8887939453125,0.7590179443359375,0.303863525390625
49,smartphone,accelerometer,1.528128523998654e+18,0.912994384765625,0.6666107177734375,0.3833770751953125
50,smartphone,accelerometer,1.528128523998654e+18,0.9286041259765624,0.86090087890625,0.4634552001953125
51,smartphone,accelerometer,1.5281285259986511e+18,0.899505615234375,0.612762451171875,0.3898468017578125
52,smartphone,accelerometer,1.5281285259986511e+18,0.6460723876953125,0.721435546875,0.29736328125
53,smartphone,accelerometer,1.528128527998649e+18,0.9321441650390624,0.6873016357421875,0.2067718505859375
54,smartphone,accelerometer,1.528128527998649e+18,0.800506591796875,0.6113433837890625,0.5251922607421875
