,device_type,distance,sensor_type,steps,timestamps
108,smartphone,294.78,pedometer,411,1.528128582998583e+18
109,smartphone,298.02,pedometer,417,1.528128582998583e+18
110,smartphone,298.02,pedometer,417,1.52812858499858e+18
111,smartphone,300.06,pedometer,421,1.52812858499858e+18
112,smartphone,300.06,pedometer,421,1.528128586998579e+18
113,smartphone,300.06,pedometer,421,1.528128586998579e+18
114,smartphone,303.22,pedometer,425,1.5281285889985759e+18
115,smartphone,303.22,pedometer,425,1.5281285889985759e+18
116,smartphone,306.38,pedometer,429,1.528128590998574e+18
117,smartphone,306.38,pedometer,429,1.528128590998574e+18
118,smartphone,306.38,pedometer,429,1.5281285929985713e+18
119,smartphone,308.54,pedometer,433,1.5281285929985713e+18
120,smartphone,308.54,pedometer,433,1.528128594998569e+18
121,smartphone,311.72,pedometer,439,1.528128594998569e+18
122,smartphone,311.72,pedometer,439,1.528128596998566e+18
123,smartphone,311.72,pedometer,439,1.528128596998566e+18
124,smartphone,314.96,pedometer,445,1.528128598998564e+18
125,smartphone,314.96,pedometer,445,1.528128598998564e+18
126,smartphone,314.96,pedometer,445,1.5281286009985618e+18
127,smartphone,317.12,pedometer,449,1.5281286009985618e+18
128,smartphone,317.12,pedometer,449,1.528128602998559e+18
129,smartphone,319.32,pedometer,453,1.528128602998559e+18
130,smartphone,319.32,pedometer,453,1.5281286049985562e+18
131,smartphone,319.32,pedometer,453,1.5281286049985562e+18
132,smartphone,324.12,pedometer,459,1.5281286069985551e+18
133,smartphone,324.12,pedometer,459,1.5281286069985551e+18
134,smartphone,328.92,pedometer,465,1.5281286089985518e+18
135,smartphone,328.92,pedometer,465,1.5281286089985518e+18
136,smartphone,328.92,pedometer,465,1.52812861099855e+18
137,smartphone,332.12,pedometer,469,1.52812861099855e+18
138,smartphone,332.12,pedometer,469,1.528128612998548e+18
139,smartphone,335.36,pedometer,475,1.528128612998548e+18
140,smartphone,335.36,pedometer,475,1.528128614998544e+18
141,smartphone,335.36,pedometer,475,1.528128614998544e+18
142,smartphone,338.52,pedometer,479,1.528128616998543e+18
143,smartphone,338.52,pedometer,479,1.528128616998543e+18
144,smartphone,343.26,pedometer,485,1.52812861899854e+18
145,smartphone,343.26,pedometer,485,1.52812861899854e+18
146,smartphone,343.26,pedometer,485,1.528128620998538e+18
147,smartphone,346.42,pedometer,489,1.528128620998538e+18
148,smartphone,346.42,pedometer,489,1.528128622998535e+18
149,smartphone,346.42,pedometer,489,1.528128622998535e+18
150,smartphone,349.72,pedometer,495,1.528128624998532e+18
151,smartphone,349.72,pedometer,495,1.528128625998532e+18
152,smartphone,351.88,pedometer,499,1.528128625998532e+18
153,smartphone,351.88,pedometer,499,1.52812862799853e+18
154,smartphone,351.88,pedometer,499,1.52812862799853e+18
155,smartphone,356.56,pedometer,505,1.528128629998527e+18
156,smartphone,356.56,pedometer,505,1.528128629998527e+18
157,smartphone,359.64,pedometer,509,1.528128631998525e+18
158,smartphone,359.64,pedometer,509,1.528128631998525e+18
159,smartphone,359.64,pedometer,509,1.528128633998522e+18
160,smartphone,362.72,pedometer,513,1.528128633998522e+18
161,smartphone,362.72,pedometer,513,1.528128635998519e+18
162,smartphone,365.8,pedometer,517,1.528128635998519e+18
163,smartphone,365.8,pedometer,517,1.528128637998518e+18
164,smartphone,365.8,pedometer,517,1.528128637998518e+18
165,smartphone,368.88,pedometer,521,1.5281286399985142e+18
166,smartphone,368.88,pedometer,521,1.5281286399985142e+18
167,smartphone,370.92,pedometer,525,1.528128641998513e+18
168,smartphone,370.92,pedometer,525,1.528128641998513e+18
169,smartphone,370.92,pedometer,525,1.5281286439985098e+18
170,smartphone,373.08,pedometer,529,1.5281286439985098e+18
171,smartphone,373.08,pedometer,529,1.528128645998508e+18
172,smartphone,373.08,pedometer,529,1.528128645998508e+18
173,smartphone,376.24,pedometer,533,1.528128647998506e+18
174,smartphone,376.24,pedometer,533,1.528128647998506e+18
175,smartphone,379.28,pedometer,537,1.528128649998503e+18
176,smartphone,379.28,pedometer,537,1.528128649998503e+18
177,smartphone,379.28,pedometer,537,1.528128651998501e+18
